id,postulante_id,dni,postulante,convocatoria,concepto,tipo_pago,monto,voucher,fecha_pago,estado_pago,observacion
38,788,72138306,Fernando Ruiz Vásquez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00158,2024-08-08,Validado,
39,3087,71331359,Patricia Villanueva Carrasco,2024-II,Derecho de admision,Admisión,220.0,V-2024B00625,2024-08-27,Validado,
40,469,72753883,Nadia Fatima Reyes Pérez,2025-II,Derecho de admision,Admisión,240.0,V-2025B00110,2025-08-25,Validado,
41,4405,79278423,Evelyn Carmen Coila Aguilar,2026-I,Derecho de admision,Admisión,240.0,V-2026A00903,2026-03-04,Pendiente,Esperando verificacion
42,5676,74614174,Fatima Espinoza Moran,2024-I,Derecho de admision,Admisión,240.0,V-2024A01140,2024-03-03,Observado,Pendiente de revision
43,6975,75056852,Ronal Medina Muñoz,2023-I,Derecho de admision,Admisión,220.0,V-2024A00397,2023-03-27,Validado,
44,4953,77629866,Sofía Quispe Moreno,2025-II,Derecho de admision,Admisión,240.0,V-2025B00989,2025-08-27,Validado,
45,1545,72908376,Paola Campos Molina,2025-I,Derecho de admision,Admisión,220.0,V-2025A00279,2025-03-04,Pendiente,
46,2864,78020195,Sandra Ramos Moreno,2024-II,Derecho de admision,Admisión,240.0,V-2024B00581,2024-08-02,Pendiente,
47,1500,78251338,Xiomara Huamán Pérez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00271,2025-03-08,Validado,
48,6693,72268378,Brennis Castro Cano,2026-I,Derecho de admision,Admisión,220.0,V-29119,2026-05-24,Validado,
49,481,73958384,Ricardo Campos Moran,2024-I,Derecho de admision,Admisión,220.0,V-2024A00095,2024-03-04,Pendiente,
50,1001,79757347,Claudia Soto Carrasco,2024-II,Derecho de admision,Admisión,240.0,V-2024B00208,2024-08-14,Pendiente,
51,1467,71657432,César Alex León Pérez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00285,2026-03-25,Observado,Falta comprobante
52,6761,70841783,Rodrigo Campos González,2023-I,Derecho de admision,Admisión,220.0,V-2024B00519,2023-03-20,Validado,
53,1502,76714063,Wilmer Salazar Vásquez,2024-I,Derecho de admision,Admisión,240.0,V-2024A00299,2024-03-03,Validado,
54,6757,70134702,Héctor Alejandro Lazo Martínez,2023-I,Derecho de admision,Admisión,240.0,V-2024A00126,2023-03-24,Pendiente,Esperando verificacion
55,3226,71081866,Iván José Vargas Pérez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00653,2026-03-21,Validado,
56,4253,76272355,Erick Torres Pérez,2024-I,Derecho de admision,Admisión,240.0,V-2024A00853,2024-03-31,Validado,
57,1303,73057494,Rodrigo Ramírez González,2024-I,Derecho de admision,Admisión,240.0,V-2024A00261,2024-03-28,Validado,
58,3481,78440273,Ricardo Lazo Aguilar,2025-I,Derecho de admision,Admisión,220.0,V-2025A00664,2025-03-10,Validado,
59,6136,71399534,Marco Salazar Hidalgo,2025-I,Derecho de admision,Admisión,240.0,V-2025A01193,2025-03-25,Validado,
60,2973,71860290,Evelyn Carmen Cruz Vásquez,2025-II,Derecho de admision,Admisión,220.0,V-2025B00592,2025-08-29,Validado,
61,6234,75764262,Juan Reyes Moreno,2025-II,Derecho de admision,Admisión,240.0,V-2025B01262,2025-08-16,Pendiente,
62,4901,79504721,Luis Vargas Álvarez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00978,2024-08-16,Validado,
63,5992,75535165,Stephanie Ccopa Romero,2024-I,Derecho de admision,Admisión,240.0,V-2024A01198,2024-03-30,Pendiente,
64,973,76516222,Mónica Mendoza Moran,2026-I,Derecho de admision,Admisión,240.0,V-2026A00191,2026-03-11,Validado,
65,3427,78126460,César Alex Apaza González,2025-I,Derecho de admision,Admisión,220.0,V-2025A00649,2025-03-22,Validado,
66,7636,77765153,Miguel Ángel Ruiz Aguilar,2023-II,Derecho de admision,Admisión,220.0,V-2024A01154,2023-08-18,Validado,
67,2884,72463941,Valeria Castillo Romero,2024-II,Derecho de admision,Admisión,240.0,V-2024B00587,2024-08-28,Validado,
68,2166,78923353,Wilmer Condori Navarro,2024-I,Derecho de admision,Admisión,220.0,V-2024A00439,2024-03-05,Observado,Monto no coincide
69,7352,76446187,Fernando García Álvarez,2023-II,Derecho de admision,Admisión,220.0,V-2024A00777,2023-08-12,Validado,
70,1888,76718605,Liliana Ramírez Aguilar,2024-II,Derecho de admision,Admisión,220.0,V-2024B00400,2024-08-14,Validado,
71,1894,73887495,Ronal Medina Molina,2025-II,Derecho de admision,Admisión,240.0,V-2025B00400,2025-08-06,Pendiente,
72,6630,72733398,Ricardo Coila Hidalgo,2025-II,Derecho de admision,Admisión,220.0,V-2025B01347,2025-08-28,Validado,
73,7661,77775228,Héctor Condori Gutiérrez,2023-II,Derecho de admision,Admisión,220.0,V-2024A00891,2023-08-18,Validado,
74,3573,73905070,Luis Flores Jiménez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00719,2024-08-05,Observado,Monto no coincide
75,6253,77542637,Patricia Mariana Ruiz Molina,2024-I,Derecho de admision,Admisión,220.0,V-2024A01245,2024-03-29,Validado,
76,6107,73552652,Jhon Villanueva Vásquez,2026-I,Derecho de admision,Admisión,240.0,V-2026A01258,2026-03-09,Validado,
77,3300,71407552,Liseth Lorena Ruiz Moran,2024-II,Derecho de admision,Admisión,220.0,V-2024B00673,2024-08-02,Validado,
78,3999,78236858,Daniela Cárdenas Alonso,2025-I,Derecho de admision,Admisión,240.0,V-2025A00770,2025-03-17,Pendiente,Esperando verificacion
79,7612,75918016,Patricia Mamani Sánchez,2023-II,Derecho de admision,Admisión,240.0,V-2024B01072,2023-08-17,Validado,
80,3148,75205896,Liseth Ramos Hidalgo,2024-II,Derecho de admision,Admisión,240.0,V-2024B00638,2024-08-25,Validado,
81,3048,79112919,Milagros Coila Hidalgo,2024-I,Derecho de admision,Admisión,220.0,V-2024A00629,2024-03-21,Validado,
82,61,74006492,Alex Cutipa Jiménez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00010,2025-02-26,Validado,
83,976,72621335,Fatima Liseth Lazo Blanco,2024-I,Derecho de admision,Admisión,240.0,V-2024A00192,2024-03-26,Pendiente,Esperando verificacion
84,6403,78414002,Marco Ortega Moreno,2024-II,Derecho de admision,Admisión,220.0,V-2024B01269,2024-09-03,Pendiente,
85,7620,70791041,Jorge Villanueva Carrasco,2023-II,Derecho de admision,Admisión,220.0,V-2024B00795,2023-08-14,Validado,
86,5514,76847046,Andrea Torres Jiménez,2025-I,Derecho de admision,Admisión,220.0,V-2025A01087,2025-03-14,Pendiente,
87,1669,74492622,Carlos León Pérez,2024-I,Derecho de admision,Admisión,240.0,V-2024A00337,2024-03-02,Validado,
88,3968,72496382,Carlos Cruz Hidalgo,2026-I,Derecho de admision,Admisión,220.0,V-2026A00812,2026-03-31,Validado,
89,1780,73086825,Edwin Cristian Castillo Núñez,2025-II,Derecho de admision,Admisión,240.0,V-2025B00375,2025-08-05,Pendiente,Esperando verificacion
90,6720,71188167,Xiomara María López Álvarez,2023-I,Derecho de admision,Admisión,240.0,V-2024A00438,2023-03-21,Observado,Monto no coincide
91,6618,74001438,Ronal Cruz Fuentes,2024-II,Derecho de admision,Admisión,240.0,V-2024B01304,2024-08-21,Validado,
92,2254,72145514,Karina Valeria Espinoza Carrasco,2026-I,Derecho de admision,Admisión,220.0,V-2026A00443,2026-03-09,Validado,
93,49,73540415,Pablo Rubén Torres Lozano,2025-I,Derecho de admision,Admisión,220.0,V-2025A00008,2025-03-04,Validado,
94,679,75275972,Evelyn Castillo Jiménez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00112,2025-03-19,Validado,
95,4244,71857798,Cinthia López Hidalgo,2024-II,Derecho de admision,Admisión,240.0,V-2024B00856,2024-08-03,Validado,
96,132,71044906,Nadia Fatima León Castro,2024-II,Derecho de admision,Admisión,240.0,V-2024B00025,2024-08-31,Validado,
97,1926,71281022,Nadia Rocío Huamán Álvarez,2025-II,Derecho de admision,Admisión,220.0,V-2025B00408,2025-08-10,Validado,
98,6314,76308542,Javier Espinoza Carrasco,2024-II,Derecho de admision,Admisión,220.0,V-2024B01252,2024-08-29,Pendiente,
99,4672,79404203,Daniela Chávez Muñoz,2026-I,Derecho de admision,Admisión,240.0,V-2026A00954,2026-03-09,Pendiente,Esperando verificacion
100,638,73793248,Rosa Chávez Muñoz,2024-II,Derecho de admision,Admisión,240.0,V-2024B00128,2024-08-24,Pendiente,
101,4187,77514510,Luis Fernando Rodríguez Carrasco,2024-II,Derecho de admision,Admisión,240.0,V-2024B00841,2024-08-25,Validado,
102,4049,76120279,Luis Fernando Ramírez Moran,2025-I,Derecho de admision,Admisión,240.0,V-2025A00778,2025-02-26,Validado,
103,770,76892648,Carmen López Vásquez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00130,2025-02-27,Validado,
104,105,73955699,Fernando Cárdenas Álvarez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00019,2025-03-04,Pendiente,
105,5383,79534239,Edwin Quispe Moran,2025-II,Derecho de admision,Admisión,240.0,V-2025B01074,2025-08-05,Validado,
106,5420,78742820,Víctor Morales Pérez,2026-I,Derecho de admision,Admisión,240.0,V-2026A01107,2026-03-29,Validado,
107,7606,73191581,Patricia Huamán Álvarez,2023-II,Derecho de admision,Admisión,240.0,V-2024A01024,2023-08-07,Observado,Voucher ilegible
108,3501,72888554,Jorge Sánchez Jiménez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00706,2026-03-06,Validado,
109,7197,77972697,Nadia Rocío Ramos Iglesias,2023-II,Derecho de admision,Admisión,240.0,V-2024B00169,2023-08-16,Pendiente,
110,3395,75686104,Evelyn Carmen Quispe Pérez,2025-II,Derecho de admision,Admisión,240.0,V-2025B00677,2025-08-14,Pendiente,
111,927,73332284,Andrea Castillo Blanco,2026-I,Derecho de admision,Admisión,240.0,V-2026A00182,2026-03-05,Validado,
112,5774,73319363,Miguel Ángel Lazo Delgado,2025-I,Derecho de admision,Admisión,240.0,V-2025A01125,2025-03-17,Validado,
113,2834,76733998,Erick Puma Aguilar,2025-I,Derecho de admision,Admisión,220.0,V-2025A00540,2025-03-20,Pendiente,
114,1186,74214532,Milagros Ventura Navarro,2026-I,Derecho de admision,Admisión,240.0,V-2026A00230,2026-03-19,Observado,Voucher ilegible
115,6135,75588232,Xiomara Reyes Delgado,2025-I,Derecho de admision,Admisión,220.0,V-2025A01192,2025-03-24,Pendiente,
116,1856,72196676,Rosa Quispe Castro,2024-I,Derecho de admision,Admisión,220.0,V-2024A00373,2024-03-18,Observado,Voucher ilegible
117,5356,79149345,Pablo Rubén Ruiz Romero,2025-I,Derecho de admision,Admisión,220.0,V-2025A01050,2025-03-06,Validado,
118,4674,73576687,Nadia Fatima Condori Moran,2025-I,Derecho de admision,Admisión,240.0,V-2025A00911,2025-03-12,Validado,
119,2584,71894814,Jessica Vega Fuentes,2024-I,Derecho de admision,Admisión,240.0,V-2024A00519,2024-03-24,Validado,
120,6070,72273008,Alex Salazar González,2024-I,Derecho de admision,Admisión,240.0,V-2024A01213,2024-03-22,Observado,Monto no coincide
121,6769,78893692,Juan Carlos Soto Álvarez,2023-I,Derecho de admision,Admisión,240.0,V-2024B01090,2023-03-23,Validado,
122,3099,70350617,Cinthia Espinoza Vásquez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00627,2024-08-11,Pendiente,
123,2968,75016363,Pablo Rubén Coila Carrasco,2025-I,Derecho de admision,Admisión,220.0,V-2025A00568,2025-03-16,Validado,
124,2182,78061958,Kevin Pérez Sánchez,2025-II,Derecho de admision,Admisión,240.0,V-2025B00446,2025-09-04,Observado,Falta comprobante
125,6476,71647633,Héctor Jorge Campos Serrano,2026-I,Derecho de admision,Admisión,240.0,V-2026A01336,2026-03-09,Pendiente,Esperando verificacion
126,2071,75279831,Alejandro Salazar Navarro,2025-I,Derecho de admision,Admisión,240.0,V-2025A00385,2025-03-07,Pendiente,
127,7512,79455717,Paola Evelyn Ramos Fernández,2023-II,Derecho de admision,Admisión,220.0,V-2024B00063,2023-08-16,Validado,
128,1561,72844192,César García Carrasco,2026-I,Derecho de admision,Admisión,240.0,V-2026A00305,2026-03-03,Pendiente,
129,6347,70158210,Ronal Soto Fuentes,2025-I,Derecho de admision,Admisión,240.0,V-2025A01239,2025-03-04,Pendiente,
130,94,72972018,Fatima Liseth Huanca Blanco,2024-II,Derecho de admision,Admisión,240.0,V-2024B00021,2024-08-29,Validado,
131,6992,70918891,Paola Evelyn Campos Moran,2023-I,Derecho de admision,Admisión,220.0,V-2024B01153,2023-04-03,Pendiente,Esperando verificacion
132,5657,79361675,Paola Villanueva Fuentes,2024-II,Derecho de admision,Admisión,220.0,V-2024B01124,2024-09-03,Validado,
133,6063,70575506,Mónica Morales Aguilar,2026-I,Derecho de admision,Admisión,240.0,V-2026A01248,2026-03-19,Observado,Monto no coincide
134,2115,72680952,Brenda Lazo Álvarez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00442,2024-09-05,Validado,
135,3723,75317803,Jorge León Fuentes,2024-I,Derecho de admision,Admisión,220.0,V-2024A00753,2024-03-10,Validado,
136,3266,71955790,Daniela Cutipa Moran,2024-II,Derecho de admision,Admisión,240.0,V-2024B00661,2024-08-12,Validado,
137,6506,73937939,Luis Pérez Cabrera,2024-II,Derecho de admision,Admisión,220.0,V-2024B01285,2024-08-02,Pendiente,Esperando verificacion
138,1071,75488547,Andrea Lazo Hidalgo,2024-II,Derecho de admision,Admisión,220.0,V-2024B00227,2024-08-06,Validado,
139,3941,77904748,Jorge López Aguilar,2026-I,Derecho de admision,Admisión,220.0,V-2026A00805,2026-03-02,Validado,
140,4971,75811916,Iván Rodríguez Molina,2025-I,Derecho de admision,Admisión,240.0,V-2025A00975,2025-03-04,Validado,
141,3411,74807066,Sofía Martínez Navarro,2024-II,Derecho de admision,Admisión,240.0,V-2024B00696,2024-08-16,Pendiente,Esperando verificacion
142,4905,79835886,Stephanie Liseth Campos Delgado,2025-II,Derecho de admision,Admisión,240.0,V-2025B00982,2025-08-02,Validado,
143,3015,77208994,Luis López Delgado,2024-I,Derecho de admision,Admisión,240.0,V-2024A00621,2024-03-10,Validado,
144,4958,71518329,Flor Puma Pérez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00986,2024-09-04,Validado,
145,6771,77091166,Jhon Ccopa Serrano,2023-I,Derecho de admision,Admisión,220.0,V-2024B00404,2023-03-28,Pendiente,Esperando verificacion
146,1273,75377073,Patricia Torres Castro,2026-I,Derecho de admision,Admisión,220.0,V-2026A00249,2026-03-05,Pendiente,
147,2984,72681096,Mariana Paredes Cabrera,2025-II,Derecho de admision,Admisión,240.0,V-2025B00596,2025-08-24,Observado,Monto no coincide
148,3317,78591451,Paola León Benítez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00677,2024-08-30,Pendiente,
149,6856,75649263,Pablo Rubén Vega Delgado,2023-I,Derecho de admision,Admisión,240.0,V-2024B00402,2023-03-21,Pendiente,
150,3779,74707157,Luis Paredes Castro,2026-I,Derecho de admision,Admisión,240.0,V-2026A00767,2026-03-30,Validado,
151,5381,77778182,Andrea Puma Cabrera,2024-II,Derecho de admision,Admisión,240.0,V-2024B01074,2024-08-14,Observado,Falta comprobante
152,6500,76072982,José Flores Castro,2025-I,Derecho de admision,Admisión,240.0,V-2025A01262,2025-03-27,Validado,
153,1139,74875658,Diego Medina Álvarez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00205,2025-03-09,Validado,
154,2310,73180661,Wilmer Salazar Álvarez,2024-I,Derecho de admision,Admisión,240.0,V-2024A00464,2024-03-05,Pendiente,
155,7401,75725110,Edwin Cristian León Navarro,2023-II,Derecho de admision,Admisión,240.0,V-2024B00407,2023-08-09,Pendiente,
156,5247,72348925,Héctor Alejandro Ortega Núñez,2025-I,Derecho de admision,Admisión,220.0,V-2025A01026,2025-03-24,Validado,
157,2197,75036277,Xiomara María Villanueva Gutiérrez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00412,2025-03-18,Validado,
158,2712,78800406,Wilmer Rodrigo Villanueva Vásquez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00548,2026-03-17,Pendiente,Esperando verificacion
159,5163,77244426,Stephanie Ccallo Vásquez,2025-I,Derecho de admision,Admisión,220.0,V-2025A01012,2025-02-27,Validado,
160,6523,77183564,Miguel Villanueva Muñoz,2025-I,Derecho de admision,Admisión,220.0,V-2025A01266,2025-03-22,Validado,
161,888,70388196,Xiomara María Ccallo Muñoz,2025-II,Derecho de admision,Admisión,240.0,V-2025B00198,2025-08-26,Pendiente,
162,3364,70559890,Rosa Cinthia Campos Aguilar,2026-I,Derecho de admision,Admisión,220.0,V-2026A00679,2026-03-11,Pendiente,
163,2790,72422763,Liliana Paredes Álvarez,2024-II,Derecho de admision,Admisión,240.0,V-2024B00566,2024-08-25,Validado,
164,6949,70453966,Stephanie Fatima Salazar Romero,2023-I,Derecho de admision,Admisión,240.0,V-2024A00721,2023-04-03,Observado,Voucher ilegible
165,1113,78863869,Alejandro Quispe Muñoz,2026-I,Derecho de admision,Admisión,240.0,V-2026A00218,2026-03-25,Pendiente,
166,1796,76399386,Edwin Cristian Ramos Romero,2026-I,Derecho de admision,Admisión,240.0,V-2026A00354,2026-03-27,Observado,Voucher ilegible
167,5268,76302397,Luis Reyes Núñez,2024-I,Derecho de admision,Admisión,220.0,V-2024A01055,2024-03-16,Validado,
168,1403,77316857,Carmen León Gutiérrez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00304,2024-08-13,Validado,
169,2220,78613180,Carmen Ccallo Vásquez,2026-I,Derecho de admision,Admisión,220.0,V-2026A00438,2026-03-04,Observado,Monto no coincide
170,5391,74293010,Rubén Ventura Lozano,2024-I,Derecho de admision,Admisión,240.0,V-2024A01083,2024-03-21,Validado,
171,1075,74361777,Nadia Sánchez Cano,2026-I,Derecho de admision,Admisión,240.0,V-2026A00208,2026-03-20,Observado,Monto no coincide
172,1629,70099617,Sandra Villanueva Sánchez,2025-I,Derecho de admision,Admisión,240.0,V-2025A00299,2025-02-26,Validado,
173,7366,77981342,Juan Carlos Lazo Jiménez,2023-II,Derecho de admision,Admisión,240.0,V-2024B00110,2023-08-17,Validado,
174,801,77502316,Lucía Coila Aguilar,2024-II,Derecho de admision,Admisión,240.0,V-2024B00163,2024-08-08,Validado,
175,5085,75987366,Miguel Condori Gutiérrez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00996,2025-02-26,Validado,
176,4462,71498648,David Ruiz Benítez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00863,2025-03-13,Validado,
177,7181,72942713,Víctor Vega Álvarez,2023-I,Derecho de admision,Admisión,220.0,V-2024B00083,2023-03-24,Observado,Voucher ilegible
178,997,75433875,Patricia Rodríguez Martínez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00207,2024-08-19,Validado,
179,1802,71168237,Sebastián Ccallo Romero,2025-II,Derecho de admision,Admisión,220.0,V-2025B00380,2025-08-21,Validado,
180,1693,77101098,Kevin Rodríguez Molina,2025-II,Derecho de admision,Admisión,240.0,V-2025B00362,2025-08-02,Validado,
181,5387,72130106,Fernando Coila Núñez,2024-I,Derecho de admision,Admisión,220.0,V-2024A01082,2024-03-16,Validado,
182,6076,79286029,Edwin Cristian Cárdenas Blanco,2024-I,Derecho de admision,Admisión,220.0,V-2024A01214,2024-03-09,Validado,
183,920,71744250,Rocío Ruiz Navarro,2025-II,Derecho de admision,Admisión,240.0,V-2025B00203,2025-09-03,Pendiente,
184,5899,72106618,Evelyn Cruz Aguilar,2026-I,Derecho de admision,Admisión,240.0,V-2026A01218,2026-03-15,Pendiente,
185,3923,70470626,Luis Sánchez Muñoz,2025-I,Derecho de admision,Admisión,240.0,V-2025A00754,2025-03-06,Validado,
186,349,73725978,Ronal Cárdenas Carrasco,2025-II,Derecho de admision,Admisión,220.0,V-2025B00085,2025-08-09,Pendiente,
187,4511,77034211,David Paredes Fernández,2025-I,Derecho de admision,Admisión,240.0,V-2025A00879,2025-03-04,Validado,
188,3599,77175334,Luis Cruz Moran,2024-II,Derecho de admision,Admisión,240.0,V-2024B00726,2024-08-02,Pendiente,
189,4550,78377280,Jessica Quispe Gutiérrez,2025-I,Derecho de admision,Admisión,220.0,V-2025A00886,2025-03-11,Validado,
190,6680,75719092,Karina Rodríguez Álvarez,2025-I,Derecho de admision,Admisión,240.0,V-2025A01292,2025-03-17,Pendiente,Esperando verificacion
191,3703,77618003,Evelyn Vargas Serrano,2026-I,Derecho de admision,Admisión,220.0,V-2026A00745,2026-03-20,Validado,
192,6467,74339083,Liliana Apaza Delgado,2024-I,Derecho de admision,Admisión,240.0,V-2024A01287,2024-03-12,Validado,
193,1544,78307434,Ricardo García Aguilar,2026-I,Derecho de admision,Admisión,220.0,V-2026A00301,2026-03-06,Validado,
194,3460,75786999,Fatima León Muñoz,2026-I,Derecho de admision,Admisión,240.0,V-2026A00695,2026-03-13,Pendiente,
195,7025,73761591,Marco Martínez Iglesias,2023-I,Derecho de admision,Admisión,240.0,V-2024B00446,2023-04-01,Observado,Voucher ilegible
196,6331,71957391,Héctor García Cabrera,2026-I,Derecho de admision,Admisión,220.0,V-2026A01300,2026-03-30,Validado,
197,2253,73912808,Fatima Condori Jiménez,2024-I,Derecho de admision,Admisión,220.0,V-2024A00454,2024-03-21,Validado,
198,178,76520284,Evelyn Carmen Morales Romero,2024-II,Derecho de admision,Admisión,240.0,V-2024B00036,2024-08-23,Validado,
199,6068,77417451,Víctor Medina Benítez,2024-I,Derecho de admision,Admisión,220.0,V-2024A01212,2024-03-09,Pendiente,
200,6486,70788852,Carmen Daniela Vargas Castro,2025-I,Derecho de admision,Admisión,220.0,V-2025A01258,2025-03-27,Validado,
201,1387,79813551,Jhon Carlos Cutipa Alonso,2026-I,Derecho de admision,Admisión,240.0,V-2026A00265,2026-03-13,Pendiente,
202,4736,74509274,Andrea Herrera Cabrera,2024-II,Derecho de admision,Admisión,220.0,V-2024B00946,2024-08-25,Validado,
203,5102,70642461,Claudia Morales Navarro,2025-I,Derecho de admision,Admisión,220.0,V-2025A01001,2025-03-11,Pendiente,
204,6201,76370363,Patricia Mariana Huanca Cabrera,2025-II,Derecho de admision,Admisión,220.0,V-2025B01254,2025-08-11,Validado,
205,5077,74164315,Evelyn Sánchez Pérez,2025-II,Derecho de admision,Admisión,220.0,V-2025B01018,2025-08-07,Pendiente,Esperando verificacion
206,4207,78999279,Evelyn Carmen Pérez Gutiérrez,2024-II,Derecho de admision,Admisión,220.0,V-2024B00847,2024-08-18,Pendiente,
